X,Y,PDV/ HIBRI,MARCA (IZZ,REGI�N O,HUB,CADENA,IZ_ID PDV,Nombre del,Direcci�,LATITUD,LONGITUD,ESTATUS,icon_url
-99.08264256,19.43640703,ANTENA DE RED,SKY,METROPOLITANA,CIUDAD DE MEXICO,ANTENA DE RED,SKY-178,AICM,"Av. Capit�n Carlos Le�n S/N, Pe��n de los Ba�os, Venustiano Carranza, 15620 Ciudad de M�xico, CDMX",-99.082642559999996,19.436407030000002,ABIERTO,./0.png
-101.2305218,20.58389746,HIBRIDO,IZZI,NORESTE,SALAMANCA,CENTRO COMERCIAL,IZ-03438,VIA ALTA SALAMANCA,CAMINO A MANCERA 214 FRACC LAS GLORIAS SALAMANCA GUANAJUATO CP 36766,-101.230521800000005,20.583897459999999,ABIERTO,./0.png
19.5032441,-99.203741,HIBRIDO,IZZI,METROPOLITANA,SATELITE,CENTRO COMERCIAL,IZ-02656,TOWN CENTER ROSARIO,"AV. EL ROSARIO NUM 1025 COL. TIERRA NUEVA (ENTRE AQUILES SERDAN, AVENIDA RIO BLANCO Y EL ROSARIO) DEL. AZCAPOTZALCO, C.P. 02100, CIUDAD DE MEXICO (TOWER CENTER EL ROSARIO)",19.503244100000000,-99.203740999999994,ABIERTO,./0.png
19.3884782,-99.1918658,HIBRIDO,IZZI,METROPOLITANA,VALLE,CENTRO COMERCIAL,IZ-02381,PLAZA EXHIBIMEX,"PLAZA EXHIBIMEX,  UBICADO EN CALLE 10 NUM 132 LOC. AC-11, COL. SAN PEDRO DE LOS PINOS, C.P. 01180, DEL.ALVARO OBREGON, MEXICO",19.388478200000002,-99.191865800000002,ABIERTO,./0.png
18.019608,-92.913105,HIBRIDO,IZZI,SURESTE,VILLAHERMOSA,CENTRO COMERCIAL,IZ-01959,SENDERO VILLAHERMOSA (FUNO),"BLVD.CARLOS PELLICER NUM 1020 ISLA 21 , JOSE MARIA PINO SUAREZ, C.P. 86020, VILLAHERMOSA, TABASCO (SENDERO VILLAHERMOSA)",18.019608000000002,-92.913105000000002,ABIERTO,./0.png
19.4187204,-99.1301851,HIBRIDO,IZZI,METROPOLITANA,CENTRO,CENTRO COMERCIAL,IZ-01973,PORTAL CENTRO,"CLAVIJERO NUM 258, COL TRANSITO, C.P. 06820, CUAUHTEMOC, CDMX (PORTAL CENTRO)",19.418720400000002,-99.130185100000006,ABIERTO,./0.png
19.4395421,-99.1999006,HIBRIDO,IZZI,METROPOLITANA,POLANCO,CENTRO COMERCIAL,IZ-02657,PLAZA MIYANA,"AVENIDA EJERCITO NACIONAL NUM 769 COL. GRANADA, ALCALDIA MIGUEL HIDALGO C.P. 11520, CIUDAD DE MEXICO (MIYANA)",19.439542100000001,-99.199900600000007,ABIERTO,./0.png
19.4573489,-99.2175452,HIBRIDO,IZZI,METROPOLITANA,POLANCO,CENTRO COMERCIAL,IZ-03016,PLAZA CUATRO CAMINOS MEXIPUERTO (DIAFI),"CALZADA TRANSMISIONES NUM 30, PARQUE INDUSTRIAL, C.P. 53489, NAUCALPAN DE JUAREZ, ESTADO DE MEXICO, (PLAZA CUATRO CAMINOS)",19.457348900000000,-99.217545200000004,ABIERTO,./0.png
19.2641506,-98.8978758,HIBRIDO,IZZI,METROPOLITANA,IXTAPALUCA,CENTRO COMERCIAL,IZ-03024,PLAZA CHALCO,"CALLE EMILIANO ZAPATA NUM 4, COL. CENTRO CHALCO, CHALCO DE  DIAZ COVARRUBIAS, CHALCO, ESTADO DE MEXICO",19.264150600000001,-98.897875799999994,ABIERTO,./0.png
-97.4170804,18.46927651,HIBRIDO,IZZI,SURESTE,PUEBLA,CENTRO COMERCIAL,IZ-03415,PASEO TEHUACAN,"Avenida Independencia Oriente s/n esquina 7 Norte , Colonia Centro, Tehuac�n, Puebla. C.P. 75700",-97.417080400000003,18.469276510000000,ABIERTO,./0.png
31.29007911,-110.9395119,HIBRIDO,IZZI,PACIFICO,NOGALES,CENTRO COMERCIAL,IZ-03349,NOGALES MALL,"BOULEVARD EL GRECO NUM 45 LOC. K12, NOGALES, SONORA",31.290079110000001,-110.939511899999999,ABIERTO,./0.png
